id,servico,procedimento,descricao,diponivel,user_id,created_at,updated_at
,105,02.01.01.053-4,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,02.11.05.009-1,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,02.11.05.010-5,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,02.11.05.014-8,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,03.03.04.006-8,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,03.03.04.010-6,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,03.03.04.011-4,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,03.03.04.012-2,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,03.04.01.035-9,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.01.004-7,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.01.005-5,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.01.007-1,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.01.011-0,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.01.012-8,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.01.013-6,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.01.014-4,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.01.021-7,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.01.022-5,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.01.023-3,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.01.024-1,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.01.025-0,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.01.029-2,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.01.033-0,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.01.035-7,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.01.039-0,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.02.001-8,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.02.002-6,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.02.003-4,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.02.004-2,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.02.005-0,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.02.006-9,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.02.009-3,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.02.011-5,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.02.013-1,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.03.001-3,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.03.002-1,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.03.003-0,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.03.004-8,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.03.005-6,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.03.006-4,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.03.008-0,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.03.009-9,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.03.010-2,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.03.011-0,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.03.012-9,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.03.013-7,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.03.014-5,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.03.015-3,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.03.016-1,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.04.001-9,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.04.002-7,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.04.005-1,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.04.006-0,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.04.007-8,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.04.008-6,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.04.009-4,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.04.010-8,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.04.011-6,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.04.012-4,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.05.003-0,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.05.004-9,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.05.005-7,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.05.006-5,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.05.007-3,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.05.009-0,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.05.010-3,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.05.015-4,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.05.016-2,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.06.001-0,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.06.002-8,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.06.003-6,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.06.004-4,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.06.005-2,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.06.006-0,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.06.007-9,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.06.008-7,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.06.009-5,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.07.001-5,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.07.004-0,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.07.005-8,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.07.008-2,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.07.009-0,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.07.010-4,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.07.011-2,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.07.012-0,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.07.013-9,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.07.014-7,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.07.015-5,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.07.016-3,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.08.001-0,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.08.002-9,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.08.003-7,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.08.004-5,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.08.005-3,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.08.006-1,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.08.007-0,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.08.008-8,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.08.009-6,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,105,04.03.08.010-0,Serviço de Atenção em Neurologia/ Neurocirurgia,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,02.11.07.037-8,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,02.11.07.038-6,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,02.11.07.039-4,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,02.11.07.040-8,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,02.11.07.041-6,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,03.01.07.001-6,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,03.01.07.017-2,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,03.01.07.018-0,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,03.01.07.019-9,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,04.04.01.057-1,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,04.04.01.058-0,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,04.04.01.059-8,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,04.04.01.060-1,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,04.04.01.061-0,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,04.04.01.062-8,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,04.04.01.063-6,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,04.04.01.064-4,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,04.04.01.065-2,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,07.01.03.034-8,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,07.01.09.010-3,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,07.01.09.011-1,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,07.01.09.012-0,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,07.01.09.013-8,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,07.01.09.014-6,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,07.01.09.015-4,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,07.01.09.016-2,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,07.01.09.017-0,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,07.01.09.018-9,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,07.01.09.019-7,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,07.01.09.020-0,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,07.01.09.021-9,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,07.01.09.022-7,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,07.01.09.023-5,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,07.02.09.005-0,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,07.02.09.006-9,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,07.02.09.008-5,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,107,07.02.09.009-3,Serviço de Atenção a Saúde Auditiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,108,01.02.01.022-6,Serviço de Atenção a Saúde do Trabalhador,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,108,01.02.01.023-4,Serviço de Atenção a Saúde do Trabalhador,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,108,01.02.02.001-9,Serviço de Atenção a Saúde do Trabalhador,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,108,01.02.02.002-7,Serviço de Atenção a Saúde do Trabalhador,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,108,01.02.02.003-5,Serviço de Atenção a Saúde do Trabalhador,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,108,03.01.02.001-9,Serviço de Atenção a Saúde do Trabalhador,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,108,03.01.02.002-7,Serviço de Atenção a Saúde do Trabalhador,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,108,03.01.05.014-7,Serviço de Atenção a Saúde do Trabalhador,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,110,02.01.01.015-1,Serviço de Atenção a Saúde Reprodutiva,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,112,03.01.01.032-3,Serviço de Atenção ao Pré-Natal e Nascimento,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,112,03.01.01.033-1,Serviço de Atenção ao Pré-Natal e Nascimento,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,112,03.01.01.034-0,Serviço de Atenção ao Pré-Natal e Nascimento,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,112,03.01.01.035-8,Serviço de Atenção ao Pré-Natal e Nascimento,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,112,03.01.01.036-6,Serviço de Atenção ao Pré-Natal e Nascimento,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,112,03.01.01.037-4,Serviço de Atenção ao Pré-Natal e Nascimento,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,012 - Equipe A,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,02.11.06.015-1,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.01.05.003-1,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.01.05.004-0,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.01.05.006-6,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.01.05.007-4,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.01.05.008-2,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.01.05.011-2,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.01.05.012-0,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.01.05.013-9,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.01.05.014-7,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.01.05.015-5,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.01.07.002-4,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.01.07.006-7,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.01.07.011-3,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.01.14.001-4,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.02.02.001-2,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.02.02.002-0,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.02.04.002-1,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.02.04.003-0,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.02.04.006-4,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.02.05.002-7,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.02.06.001-4,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.02.06.002-2,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.03.19.001-9,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.09.05.001-4,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.09.05.002-2,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,113,03.09.05.003-0,Serviço de Atenção Domiciliar,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,114,04.04.02.044-5,Serviço de Atenção em Saúde Bucal,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,115,02.11.10.001-3,Serviço de Atenção Psicossocial,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,115,03.01.07.004-0,Serviço de Atenção Psicossocial,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,115,03.01.08.002-0,Serviço de Atenção Psicossocial,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,115,03.01.08.003-8,Serviço de Atenção Psicossocial,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,115,03.01.08.004-6,Serviço de Atenção Psicossocial,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,115,03.01.08.016-0,Serviço de Atenção Psicossocial,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,115,03.01.08.017-8,Serviço de Atenção Psicossocial,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,115,03.01.08.019-4,Serviço de Atenção Psicossocial,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,115,03.01.08.020-8,Serviço de Atenção Psicossocial,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
,115,03.01.08.021-6,Serviço de Atenção Psicossocial,1,NULL,2023-08-16 15:33:01,2023-08-16 15:33:01
