id,cid,procedimento,descricao,user_id,diponivel,created_at,updated_at
,A75.0,,Tifo Epidêmico Transmitido Por Piolhos Devido a Rickettsia Prowazekii,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A77.0,,Febre Maculosa Por Rickettsia Richettsii,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A79.0,,Febre Das Trincheiras,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A80.0,,"Poliomielite Paralítica Aguda, Associada ao Vírus Vacinal",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A81.0,,Doença de Creutzfeldt-Jakob,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A82.0,,Raiva Silvestre,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A83.0,,Encefalite Japonesa,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A84.0,,Encefalite da Taiga (encefalite Vernoestival Russa),1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A85.0,,Encefalite Por Enterovírus,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A87.0,,Meningite Por Enterovírus,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A88.0,,Febre Exantemática Por Enterovírus (exantema de Boston),1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A92.0,,Febre de Chikungunya,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A93.0,,Febre de Oropouche,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A95.0,,Febre Amarela Silvestre,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A96.0,,Febre Hemorrágica de Junin,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,A98.0,,Febre Hemorrágica da Criméia (do Congo),1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B00.0,,Eczema Herpético,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B01.0,,Meningite Por Varicela,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B02.0,,Encefalite Pelo Vírus do Herpes Zoster,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B05.0,,Sarampo Complicado Por Encefalite,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B06.0,,Rubéola Com Complicações Neurológicas,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B08.0,,Outras Infecções Por Ortopoxvírus,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B15.0,,Hepatite A Com Coma Hepático,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B16.0,,"Hepatite Aguda B Com Agente Delta (co-infecção), Com Coma Hepático",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B17.0,,(Super)infecção Delta Aguda de Portador de Hepatite B,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B18.0,,Hepatite Viral Crônica B Com Agente Delta,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B19.0,,"Hepatite Viral, Não Especificada, Com Coma",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B20.0,,Doença Pelo HIV Resultando em Infecções Micobacterianas,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B21.0,,Doença Pelo HIV Resultando em Sarcoma de Kaposi,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B22.0,,Doença Pelo HIV Resultando em Encefalopatia,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B23.0,,Síndrome de Infecção Aguda Pelo HIV,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B25.0,,Pneumonite Por Citomegalovírus,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B26.0,,Orquite Por Caxumba (parotidite Epidêmica),1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B27.0,,Mononucleose Pelo Vírus Herpes Gama,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B30.0,,Ceratoconjuntivite Devida a Adenovírus,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B33.0,,Mialgia Epidêmica,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B34.0,,Infecção Por Adenovírus de Localização Não Especificada,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B35.0,,Tinha da Barba e do Couro Cabeludo,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B36.0,,Pitiríase Versicolor,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B37.0,,Estomatite Por Candida,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B38.0,,Coccidioidomicose Pulmonar Aguda,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B39.0,,Histoplasmose Pulmonar Aguda Por Histoplasma Capsulatum,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B40.0,,Blastomicose Pulmonar Aguda,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B41.0,,Paracoccidioidomicose Pulmonar,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B42.0,,Esporotricose Pulmonar,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B43.0,,Cromomicose Cutânea,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B44.0,,Aspergilose Pulmonar Invasiva,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B45.0,,Criptococose Pulmonar,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B46.0,,Mucormicose Pulmonar,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B47.0,,Eumicetoma,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B48.0,,Lobomicose,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B50.0,,Malária Por Plasmodium Falciparum Com Complicações Cerebrais,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B51.0,,Malária Por Plasmodium Vivax Com Rotura do Baço,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B52.0,,Malária Por Plasmodium Malariae Com Nefropatia,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B53.0,,Malária Por Plasmodium Ovale,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B55.0,,Leishmaniose Visceral,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B56.0,,Tripanossomíase Por Trypanosoma Gambiense,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B57.0,,"Forma Aguda da Doença de Chagas, Com Comprometimento Cardíaco",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B58.0,,Oculopatia Por Toxoplasma,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B60.0,,Babesiose,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B65.0,,Esquistossomose Devida ao Schistosoma Haematobium (esquistossomose Urinária),1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B66.0,,Opistorquíase,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B67.0,,Infestação Hepática Por Echinococcus Granulosus,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B68.0,,Infestação Por Taenia Solium,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B69.0,,Cisticercose do Sistema Nervoso Central,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B70.0,,Difilobotríase,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B71.0,,Infestação Por Hymenolepis,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B74.0,,Filariose Por Wuchereria Bancrofti,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B76.0,,Ancilostomose,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B77.0,,Ascaridíase Com Complicações Intestinais,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B78.0,,Estrongiloidíase Intestinal,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B81.0,,Anisaquíase,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B82.0,,Helmintíase Intestinal Não Especificada,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B83.0,,Larva Migrans Visceral,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B85.0,,Pediculose Devida a Pediculus Humanus Capitis,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B87.0,,Miíase Cutânea,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B88.0,,Outras Acaríases,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B90.0,,Seqüelas de Tuberculose do Sistema Nervoso Central,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B94.0,,Seqüelas de Tracoma,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B95.0,,"Estreptococo do Grupo A, Como Causa de Doenças Classificadas em Outros Capítulos",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B96.0,,"Mycoplasma Pneumoniae (M. Pneumoniae), Como Causa de Doenças Classificadas em Outros Capítulos",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,B97.0,,"Adenovírus, Como Causa de Doenças Classificadas em Outros Capítulos",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C00.0,,Neoplasia Maligna do Lábio Superior Externo,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C02.0,,Neoplasia Maligna da Face Dorsal da Língua,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C03.0,,Neoplasia Maligna da Gengiva Superior,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C04.0,,Neoplasia Maligna do Assoalho Anterior da Boca,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C05.0,,Neoplasia Maligna do Palato Duro,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C06.0,,Neoplasia Maligna da Mucosa Oral,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C08.0,,Neoplasia Maligna da Glândula Submandibular,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C09.0,,Neoplasia Maligna da Fossa Amigdaliana,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C10.0,,Neoplasia Maligna da Valécula,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C11.0,,Neoplasia Maligna da Parede Superior da Nasofaringe,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C13.0,,Neoplasia Maligna da Região Pós-cricóidea,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C14.0,,"Neoplasia Maligna da Faringe, Não Especificada",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C15.0,,Neoplasia Maligna da Porção Cervical do Esôfago (esôfago Cervical),1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C16.0,,Neoplasia Maligna da Cárdia,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C17.0,,Neoplasia Maligna do Duodeno,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C18.0,,Neoplasia Maligna do Ceco,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C21.0,,"Neoplasia Maligna do Ânus, Não Especificado",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C22.0,,Carcinoma de Células Hepáticas,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C24.0,,Neoplasia Maligna Das Vias Biliares Extra-hepáticas,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C25.0,,Neoplasia Maligna da Cabeça do Pâncreas,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C26.0,,"Neoplasia Maligna do Trato Intestinal, Parte Não Especificada",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C30.0,,Neoplasia Maligna da Cavidade Nasal,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C31.0,,Neoplasia Maligna do Seio Maxilar,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C32.0,,Neoplasia Maligna da Glote,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C34.0,,Neoplasia Maligna do Brônquio Principal,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C38.0,,Neoplasia Maligna do Coração,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C39.0,,"Neoplasia Maligna do Trato Respiratório Superior, Porção Não Especificada",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C40.0,,Neoplasia Maligna da Omoplata (escápula) e Ossos Longos Dos Membros Superiores,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C41.0,,Neoplasia Maligna Dos Ossos do Crânio e da Face,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C43.0,,Melanoma Maligno do Lábio,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C44.0,,Neoplasia Maligna da Pele do Lábio,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C45.0,,Mesotelioma da Pleura,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C46.0,,Sarcoma de Kaposi da Pele,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C47.0,,"Neoplasia Maligna Dos Nervos Periféricos da Cabeça, Face e Pescoço",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C48.0,,Neoplasia Maligna do Retroperitônio,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C49.0,,"Neoplasia Maligna do Tecido Conjuntivo e Tecidos Moles da Cabeça, Face e Pescoço",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C50.0,,Neoplasia Maligna do Mamilo e Aréola,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C51.0,,Neoplasia Maligna Dos Grandes Lábios,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C53.0,,Neoplasia Maligna do Endocérvix,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C54.0,,Neoplasia Maligna do Istmo do Útero,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C57.0,,Neoplasia Maligna da Trompa de Falópio,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C60.0,,Neoplasia Maligna do Prepúcio,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C62.0,,Neoplasia Maligna do Testículo Criptorquídico,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C63.0,,Neoplasia Maligna do Epidídimo,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C67.0,,Neoplasia Maligna do Trígono da Bexiga,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C68.0,,Neoplasia Maligna da Uretra,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C69.0,,Neoplasia Maligna da Conjuntiva,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C70.0,,Neoplasia Maligna Das Meninges Cerebrais,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C71.0,,"Neoplasia Maligna do Cérebro, Exceto Lobos e Ventrículos",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C72.0,,Neoplasia Maligna da Medula Espinhal,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C74.0,,Neoplasia Maligna do Córtex da Supra-renal,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C75.0,,Neoplasia Maligna da Glândula Paratireóide,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C76.0,,"Neoplasia Maligna da Cabeça, Face e Pescoço",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C77.0,,"Neoplasia Maligna Secundária e Não Especificada Dos Gânglios Linfáticos da Cabeça, Face e Pescoço",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C78.0,,Neoplasia Maligna Secundária Dos Pulmões,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C79.0,,Neoplasia Maligna Secundária do Rim e da Pelve Renal,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C81.0,,"Doença de Hodgkin, Predominância Linfocítica",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C82.0,,"Linfoma Não-Hodgkin, Pequenas Células Clivadas, Folicular",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C83.0,,"Linfoma Não-Hodgkin Difuso, Pequenas Células (difuso)",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C84.0,,Micose Fungóide,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C85.0,,Linfossarcoma,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C88.0,,Macroglobulinemia de Waldenström,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C90.0,,Mieloma Múltiplo,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C91.0,,Leucemia Linfoblástica Aguda,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C92.0,,Leucemia Mielóide Aguda,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C93.0,,Leucemia Monocítica Aguda,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C94.0,,Eritremia e Eritroleucemia Agudas,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C95.0,,Leucemia Aguda de Tipo Celular Não Especificado,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,C96.0,,Doença de Letterer-Siwe,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D00.0,,"Carcinoma in Situ Dos Lábios, Cavidade Oral e Faringe",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D01.0,,Carcinoma in Situ do Cólon,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D02.0,,Carcinoma in Situ da Laringe,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D03.0,,Melanoma in Situ do Lábio,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D04.0,,Carcinoma in Situ da Pele do Lábio,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D05.0,,Carcinoma Lobular in Situ,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D06.0,,Carcinoma in Situ do Endocérvix,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D07.0,,Carcinoma in Situ do Endométrio,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D09.0,,Carcinoma in Situ da Bexiga,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D10.0,,Neoplasia Benigna Dos Lábios,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D11.0,,Neoplasia Benigna da Glândula Parótida,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D12.0,,Neoplasia Benigna do Ceco,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D13.0,,Neoplasia Benigna do Esôfago,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D14.0,,"Neoplasia Benigna do Ouvido Médio, Cavidade Nasal e Seios Paranasais",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D15.0,,Neoplasia Benigna do Timo,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D16.0,,Neoplasia Benigna da Omoplata (escápula) e Ossos Longos Dos Membros Superiores,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D17.0,,"Neoplasia Lipomatosa Benigna da Pele e do Tecido Subcutâneo da Cabeça, Face e Pescoço",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D18.0,,Hemangioma de Qualquer Localização,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D19.0,,Neoplasia Benigna do Tecido Mesotelial da Pleura,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D20.0,,Neoplasia Benigna do Retroperitônio,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D21.0,,"Neoplasia Benigna do Tecido Conjuntivo e Outros Tecidos Moles da Cabeça, Face e Pescoço",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D22.0,,Nevo Melanocítico do Lábio,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D23.0,,Neoplasia Benigna da Pele Dos Lábios,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D25.0,,Leiomioma Submucoso do Útero,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D26.0,,Neoplasia Benigna do Colo do Útero,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D28.0,,Neoplasia Benigna da Vulva,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D29.0,,Neoplasia Benigna do Pênis,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D30.0,,Neoplasia Benigna do Rim,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D31.0,,Neoplasia Benigna da Conjuntiva,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D32.0,,Neoplasia Benigna Das Meninges Cerebrais,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D33.0,,"Neoplasia Benigna do Encéfalo, Supratentorial",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D35.0,,Neoplasia Benigna da Glândula Supra-renal (adrenal),1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D36.0,,Neoplasia Benigna Dos Gânglios Linfáticos (linfonodos),1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D37.0,,"Neoplasia de Comportamento Incerto ou Desconhecido do Lábio, Cavidade Oral e Faringe",1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D38.0,,Neoplasia de Comportamento Incerto ou Desconhecido da Laringe,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D39.0,,Neoplasia de Comportamento Incerto ou Desconhecido do Útero,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D40.0,,Neoplasia de Comportamento Incerto ou Desconhecido da Próstata,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D41.0,,Neoplasia de Comportamento Incerto ou Desconhecido do Rim,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
,D42.0,,Neoplasia de Comportamento Incerto ou Desconhecido Das Meninges Cerebrais,1,1,2023-08-21 08:00:00,2023-08-21 08:00:00
