id,codigo,procedimento,descricao,disponivel,user_id,created_at,updated_at
,01.02.01.030-7,CADASTRO DE INDÚSTRIAS DE MEDICAMENTOS,,1,1,,
,01.02.01.031-5,INSPEÇÃO SANITÁRIA DE INDÚSTRIA DE MEDICAMENTOS,,1,1,,
,01.02.01.032-3,LICENCIAMENTO SANITÁRIO DE INDÚSTRIAS DE MEDICAMENTOS,,1,1,,
,01.02.01.033-1,CADASTRO DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA,,1,1,,
,01.02.01.034-0,INSPEÇÃO SANITÁRIA DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA.,,1,1,,
,01.02.01.035-8,LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA,,1,1,,
,01.02.01.036-6,CADASTRO DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA,,1,1,,
,01.02.01.037-4,INSPEÇÃO SANITÁRIA DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA,,1,1,,
,01.02.01.038-2,LICENCIAMENTO SANITÁRIO DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA,,1,1,,
,01.02.01.039-0,CADASTRO DE SERVIÇOS DE HEMOTERAPIA,,1,1,,
,01.02.01.040-4,INSPEÇÃO SANITÁRIA DE SERVIÇOS DE HEMOTERAPIA,,1,1,,
,01.02.01.041-2,LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE HEMOTERAPIA,,1,1,,
,01.02.01.042-0,CADASTRO DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA,,1,1,,
,01.02.01.043-9,INSPEÇÃO SANITÁRIA DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA,,1,1,,
,01.02.01.044-7,LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA,,1,1,,
,01.02.01.045-5,CADASTRO DE SERVIÇOS DE ALIMENTAÇÃO,,1,1,,
,01.02.01.046-3,INSPEÇÃO SANITÁRIA DE SERVIÇOS DE ALIMENTAÇÃO,,1,1,,
,01.02.01.047-1,LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE ALIMENTAÇÃO,,1,1,,
,01.02.01.048-0,FISCALIZAÇÃO DO USO DE PRODUTOS FUMÍGENOS DERIVADOS DO TABACO EM AMBIENTES COLETIVOS FECHADOS,,1,1,,
,01.02.01.049-8,LAUDO DE ANÁLISE LABORATORIAL DO PROGRAMA DE MONITORAMENTO DE ALIMENTOS RECEBIDOS PELA VIGILÂNCIA SANITÁRIA,,1,1,,
,01.02.01.050-1,ATIVIDADES EDUCATIVAS SOBRE A TEMÁTICA DA DENGUE,,1,1,,
,01.02.01.051-0,ATIVIDADES EDUCATIVAS,,1,1,,
,01.02.01.052-8,INSTAURAÇÃO DE PROCESSO ADMINISTRATIVO SANITÁRIO,,1,1,,
,01.02.01.053-6,CONCLUSÃO DE PROCESSO ADMINISTRATIVO SANITÁRIO,,1,1,,
,01.02.01.054-4,CADASTRO DE INDÚSTRIAS DE INSUMOS FARMACÊUTICOS,,1,1,,
,01.02.01.055-2,CADASTRO DE INDÚSTRIAS DE PRODUTOS PARA SAÚDE,,1,1,,
,01.02.01.056-0,INSPEÇÃO SANITÁRIA DE INDÚSTRIAS DE INSUMOS FARMACÊUTICOS,,1,1,,
,01.02.01.057-9,INSPEÇÃO SANITÁRIA DE INDÚSTRIAS DE PRODUTOS PARA SAÚDE,,1,1,,
,01.02.01.058-7,IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPS HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS À INSPEÇÃO EM ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS,,1,1,,
,01.02.01.059-5,IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPS HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS À INSPEÇÃO EM ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICOS,,1,1,,
,01.02.01.060-9,IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPS HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS A INSPEÇÃO EM ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE,,1,1,,
,01.02.01.061-7,ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS À ANVISA,,1,1,,
,01.02.01.062-5,ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICOS À ANVISA,,1,1,,
,01.02.01.063-3,ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE À ANVISA,,1,1,,
,01.02.01.064-1,AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS,,1,1,,
,01.02.01.065-0,AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICOS,,1,1,,
,01.02.01.066-8,AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE,,1,1,,
,01.02.02.001-9,VIGILÂNCIA DA SITUAÇÃO DE SAÚDE DOS TRABALHADORES,,1,1,,
,01.02.02.002-7,ATIVIDADE EDUCATIVA EM SAÚDE DO TRABALHADOR,,1,1,,
,01.02.02.003-5,INSPEÇÃO SANITÁRIA EM SAÚDE DO TRABALHADOR,,1,1,,
,02.01.01.001-1,AMNIOCENTESE,,1,1,,
,02.01.01.002-0,BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,,1,1,,
,02.01.01.003-8,BIOPSIA CIRURGICA DE TIREOIDE,,1,1,,
,02.01.01.004-6,BIOPSIA DE ANUS E CANAL ANAL,,1,1,,
,02.01.01.005-4,BIOPSIA DE BACO POR PUNCAO / ASPIRACAO,,1,1,,
,02.01.01.006-2,BIOPSIA DE BEXIGA,,1,1,,
,02.01.01.007-0,BIOPSIA DE BOLSA ESCROTAL,,1,1,,
,02.01.01.008-9,BIOPSIA DE CONDUTO AUDITIVO EXTERNO,,1,1,,
,02.01.01.009-7,BIOPSIA DE CONJUNTIVA,,1,1,,
,02.01.01.010-0,BIOPSIA DE CORDAO ESPERMATICO (UNILATERAL,,1,1,,
,02.01.01.011-9,BIOPSIA DE CORNEA,,1,1,,
,02.01.01.012-7,BIOPSIA DE CORPO VERTEBRAL A CEU ABERTO,,1,1,,
,02.01.01.013-5,BIOPSIA DE CORPO VERTEBRAL LAMINA E PEDICULO VERTEBRAL (POR DISPOSITIVO GUIADO,,1,1,,
,02.01.01.014-3,BIOPSIA DE ENDOCARDIO / MIOCARDIO,,1,1,,
,02.01.01.015-1,BIOPSIA DE ENDOMETRIO,,1,1,,
,02.01.01.016-0,BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UTERINA,,1,1,,
,02.01.01.017-8,BIOPSIA DE EPIDIDIMO,,1,1,,
,02.01.01.018-6,BIOPSIA DE ESCLERA,,1,1,,
,02.01.01.019-4,BIOPSIA DE FARINGE/LARINGE,,1,1,,
,02.01.01.020-8,BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO,,1,1,,
,02.01.01.021-6,BIOPSIA DE FIGADO POR PUNCAO,,1,1,,
,02.01.01.022-4,BIOPSIA DE GANGLIO LINFATICO,,1,1,,
,02.01.01.023-2,BIÓPSIA DE GLÂNDULA SALIVAR,,1,1,,
,02.01.01.024-0,BIOPSIA DE IRIS,,1,1,,
,02.01.01.025-9,BIOPSIA DE LAMINA PEDICULO E PROCESSOS VERTEBRAIS (A CEU ABERTO,,1,1,,
,02.01.01.026-7,BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO,,1,1,,
,02.01.01.027-5,BIOPSIA DE MEDULA OSSEA,,1,1,,
,02.01.01.028-3,BIOPSIA DE MUSCULO (A CEU ABERTO,,1,1,,
,02.01.01.029-1,BIOPSIA DE NERVO,,1,1,,
,02.01.01.030-5,BIOPSIA DE OSSO / CARTILAGEM DA CINTURA ESCAPULAR (POR AGULHA / CEU ABERTO,,1,1,,
,02.01.01.031-3,BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO,,1,1,,
,02.01.01.032-1,BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO,,1,1,,
,02.01.01.033-0,BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO,,1,1,,
,02.01.01.034-8,BIÓPSIA DE OSSO DO CRÂNIO E DA FACE,,1,1,,
,02.01.01.035-6,BIOPSIA DE PALPEBRA,,1,1,,
,02.01.01.036-4,BIOPSIA DE PAVILHAO AURICULAR,,1,1,,
,02.01.01.037-2,BIOPSIA DE PELE E PARTES MOLES,,1,1,,
,02.01.01.038-0,BIOPSIA DE PENIS,,1,1,,
,02.01.01.039-9,BIOPSIA DE PIRAMIDE NASAL,,1,1,,
,02.01.01.040-2,BIOPSIA DE PLEURA (POR ASPIRAÇÃO/AGULHA / PLEUROSCOPIA,,1,1,,
,02.01.01.041-0,BIÓPSIA DE PRÓSTATA VIA TRANSRETAL,,1,1,,
,02.01.01.042-9,BIOPSIA DE PULMAO POR ASPIRACAO,,1,1,,
,02.01.01.043-7,BIOPSIA DE RIM POR PUNCAO,,1,1,,
,02.01.01.044-5,BIOPSIA DE SEIO PARANASAL,,1,1,,
,02.01.01.045-3,BIOPSIA DE SINÓVIA,,1,1,,
,02.01.01.046-1,BIOPSIA DE TESTICULO,,1,1,,
,02.01.01.047-0,BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,,1,1,,
,02.01.01.048-8,BIOPSIA DE URETER,,1,1,,
,02.01.01.049-6,BIOPSIA DE URETRA,,1,1,,
,02.01.01.050-0,BIOPSIA/PUNÇÃO DE VAGINA,,1,1,,
,02.01.01.051-8,BIOPSIA/PUNÇÃO DE VULVA,,1,1,,
,02.01.01.052-6,BIÓPSIA DOS TECIDOS MOLES DA BOCA,,1,1,,
,02.01.01.053-4,BIOPSIA ESTEREOTAXICA,,1,1,,
,02.01.01.054-2,BIOPSIA PERCUTÂNEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONÂNCIA MAGNÉTICA / RAIO X,,1,1,,
,02.01.01.055-0,BIOPSIA PRÉ-ESCALÊNICA,,1,1,,
,02.01.01.056-9,BIOPSIA/EXERESE DE NÓDULO DE MAMA,,1,1,,
,02.01.01.058-5,PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA,,1,1,,
,02.01.01.059-3,PUNÇÃO DE CISTERNA SUB-OCCIPITAL,,1,1,,
,02.01.01.060-7,PUNÇÃO DE MAMA POR AGULHA GROSSA,,1,1,,
,02.01.01.061-5,PUNÇÃO DE VAGINA,,1,1,,
,02.01.01.062-3,PUNÇÃO EXPLORADORA DO DEFERENTE,,1,1,,
,02.01.01.063-1,PUNÇÃO LOMBAR,,1,1,,
,02.01.01.064-0,PUNÇÃO P/ ESVAZIAMENTO,,1,1,,
,02.01.01.065-8,PUNÇÃO VENTRICULAR TRANSFONTANELA,,1,1,,
,02.01.01.066-6,BIOPSIA DO COLO UTERINO,,1,1,,
,02.01.02.001-7,COLETA DE LAVADO BRONCO-ALVEOLAR,,1,1,,
,02.01.02.002-5,COLETA DE LINFA PARA PESQUISA DE M. LEPRAE,,1,1,,
,02.01.02.003-3,COLETA DE MATERIAL DO COLO DE ÚTERO PARA EXAME CITOPATOLÓGICO,,1,1,,
,02.01.02.004-1,COLETA DE MATERIAL PARA EXAME LABORATORIAL,,1,1,,
,02.01.02.005-0,COLETA DE SANGUE PARA TRIAGEM NEONATAL,,1,1,,
,02.01.02.006-8,COLETA DE SANGUE PARA TIPIFICAÇÃO DO ALELO HLA-B,,1,1,,
,02.02.01.001-5,CLEARANCE OSMOLAR,,1,1,,
,02.02.01.002-3,DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO,,1,1,,
,02.02.01.003-1,DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS,,1,1,,
,02.02.01.004-0,DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS,,1,1,,
,02.02.01.005-8,DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS,,1,1,,
,02.02.01.006-6,DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA (4 DOSAGENS,,1,1,,
,02.02.01.007-4,DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS,,1,1,,
,02.02.01.008-2,DETERMINACAO DE OSMOLARIDADE,,1,1,,
,02.02.01.009-0,DOSAGEM DE 5-NUCLEOTIDASE,,1,1,,
,02.02.01.010-4,DOSAGEM DE ACETONA,,1,1,,
,02.02.01.011-2,DOSAGEM DE ACIDO ASCORBICO,,1,1,,
,02.02.01.012-0,DOSAGEM DE ACIDO URICO,,1,1,,
,02.02.01.013-9,DOSAGEM DE ACIDO VANILMANDELICO,,1,1,,
,02.02.01.014-7,DOSAGEM DE ALDOLASE,,1,1,,
,02.02.01.015-5,DOSAGEM DE ALFA-1-ANTITRIPSINA,,1,1,,
,02.02.01.016-3,DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA,,1,1,,
,02.02.01.017-1,DOSAGEM DE ALFA-2-MACROGLOBULINA,,1,1,,
,02.02.01.018-0,DOSAGEM DE AMILASE,,1,1,,
,02.02.01.019-8,DOSAGEM DE AMONIA,,1,1,,
,02.02.01.020-1,DOSAGEM DE BILIRRUBINA TOTAL E FRACOES,,1,1,,
,02.02.01.021-0,DOSAGEM DE CALCIO,,1,1,,
,02.02.01.022-8,DOSAGEM DE CALCIO IONIZAVEL,,1,1,,
,02.02.01.023-6,DOSAGEM DE CAROTENO,,1,1,,
,02.02.01.024-4,DOSAGEM DE CATECOLAMINAS,,1,1,,
,02.02.01.025-2,DOSAGEM DE CERULOPLASMINA,,1,1,,
,02.02.01.026-0,DOSAGEM DE CLORETO,,1,1,,
,02.02.01.027-9,DOSAGEM DE COLESTEROL HDL,,1,1,,
,02.02.01.028-7,DOSAGEM DE COLESTEROL LDL,,1,1,,
,02.02.01.029-5,DOSAGEM DE COLESTEROL TOTAL,,1,1,,
,02.02.01.030-9,DOSAGEM DE COLINESTERASE,,1,1,,
,02.02.01.031-7,DOSAGEM DE CREATININA,,1,1,,
,02.02.01.032-5,DOSAGEM DE CREATINOFOSFOQUINASE (CPK,,1,1,,
,02.02.01.033-3,DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB,,1,1,,
,02.02.01.034-1,DOSAGEM DE DESIDROGENASE ALFA-HIDROXIBUTIRICA,,1,1,,
,02.02.01.035-0,DOSAGEM DE DESIDROGENASE GLUTAMICA,,1,1,,
,02.02.01.036-8,DOSAGEM DE DESIDROGENASE LATICA,,1,1,,
,02.02.01.037-6,DOSAGEM DE DESIDROGENASE LATICA (ISOENZIMAS FRACIONADAS,,1,1,,
,02.02.01.038-4,DOSAGEM DE FERRITINA,,1,1,,
,02.02.01.039-2,DOSAGEM DE FERRO SERICO,,1,1,,
,02.02.01.040-6,DOSAGEM DE FOLATO,,1,1,,
,02.02.01.041-4,DOSAGEM DE FOSFATASE ACIDA TOTAL,,1,1,,
,02.02.01.042-2,DOSAGEM DE FOSFATASE ALCALINA,,1,1,,
,02.02.01.043-0,DOSAGEM DE FOSFORO,,1,1,,
,02.02.01.044-9,DOSAGEM DE FRACAO PROSTATICA DA FOSFATASE ACIDA,,1,1,,
,02.02.01.045-7,DOSAGEM DE GALACTOSE,,1,1,,
,02.02.01.046-5,DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT,,1,1,,
,02.02.01.047-3,DOSAGEM DE GLICOSE,,1,1,,
,02.02.01.048-1,DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE,,1,1,,
,02.02.01.049-0,DOSAGEM DE HAPTOGLOBINA,,1,1,,
,02.02.01.050-3,DOSAGEM DE HEMOGLOBINA GLICOSILADA,,1,1,,
,02.02.01.051-1,DOSAGEM DE HIDROXIPROLINA,,1,1,,
,02.02.01.052-0,DOSAGEM DE ISOMERASE-FOSFOHEXOSE,,1,1,,
,02.02.01.053-8,DOSAGEM DE LACTATO,,1,1,,
,02.02.01.054-6,DOSAGEM DE LEUCINO-AMINOPEPTIDASE,,1,1,,
,02.02.01.055-4,DOSAGEM DE LIPASE,,1,1,,
,02.02.01.056-2,DOSAGEM DE MAGNESIO,,1,1,,
,02.02.01.057-0,DOSAGEM DE MUCO-PROTEINAS,,1,1,,
,02.02.01.058-9,DOSAGEM DE PIRUVATO,,1,1,,
,02.02.01.059-7,DOSAGEM DE PORFIRINAS,,1,1,,
,02.02.01.060-0,DOSAGEM DE POTASSIO,,1,1,,
,02.02.01.061-9,DOSAGEM DE PROTEINAS TOTAIS,,1,1,,
,02.02.01.062-7,DOSAGEM DE PROTEINAS TOTAIS E FRACOES,,1,1,,
,02.02.01.063-5,DOSAGEM DE SODIO,,1,1,,
,02.02.01.064-3,DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO,,1,1,,
,02.02.01.065-1,DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP,,1,1,,
,02.02.01.066-0,DOSAGEM DE TRANSFERRINA,,1,1,,
,02.02.01.067-8,DOSAGEM DE TRIGLICERIDEOS,,1,1,,
,02.02.01.068-6,DOSAGEM DE TRIPTOFANO,,1,1,,
,02.02.01.069-4,DOSAGEM DE UREIA,,1,1,,
,02.02.01.070-8,DOSAGEM DE VITAMINA B12,,1,1,,
,02.02.01.071-6,ELETROFORESE DE LIPOPROTEINAS,,1,1,,
,02.02.01.072-4,ELETROFORESE DE PROTEINAS,,1,1,,
,02.02.01.073-2,GASOMETRIA (PH PCO2 PO2 BICARBONATO AS2 (EXCESSO OU DEFICIT BASE ,,1,1,,
,02.02.01.074-0,PROVA DA D-XILOSE,,1,1,,
,02.02.01.075-9,TESTE DE TOLERANCIA A INSULINA / HIPOGLICEMIANTES ORAIS,,1,1,,
,02.02.01.076-7,DOSAGEM DE 25 HIDROXIVITAMINA D,,1,1,,
,02.02.01.077-5,DETERMINAÇÃO DE CREMATÓCRITO NO LEITE HUMANO ORDENHADO,,1,1,,
,02.02.01.078-3,ACIDEZ TITULÁVEL NO LEITE HUMANO (DORNIC,,1,1,,
,02.02.01.079-1,DOSAGEM DE PEPTÍDEOS NATRIURÉTICOS TIPO B (BNP E NT-PROBNP,,1,1,,
,02.02.02.001-0,CITOQUIMICA HEMATOLOGICA,,1,1,,
,02.02.02.002-9,CONTAGEM DE PLAQUETAS,,1,1,,
,02.02.02.003-7,CONTAGEM DE RETICULOCITOS,,1,1,,
,02.02.02.004-5,DETERMINAÇÃO DE CURVA DE RESISTÊNCIA GLOBULAR,,1,1,,
,02.02.02.005-3,DETERMINACAO DE ENZIMAS ERITROCITARIAS (CADA,,1,1,,
,02.02.02.006-1,DETERMINAÇÃO DE SULFO-HEMOGLOBINA,,1,1,,
,02.02.02.007-0,DETERMINAÇÃO DE TEMPO DE COAGULAÇÃO,,1,1,,
,02.02.02.008-8,DETERMINAÇÃO DE TEMPO DE LISE DA EUGLOBULINA,,1,1,,
,02.02.02.009-6,DETERMINAÇÃO DE TEMPO DE SANGRAMENTO -DUKE,,1,1,,
,02.02.02.010-0,DETERMINAÇÃO DE TEMPO DE SANGRAMENTO DE IVY,,1,1,,
